搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
小麦粉,饺子用小麦粉,粮食及其制品-->小麦粉,邢台金沙河面业有限责任公司,黑龙江比优特商贸有限责任公司时代广场分公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,麦香小麦粉,粮食及其制品-->小麦粉,滨州泰裕麦业有限公司,北安润泰商业有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,香满园优质特精小麦粉,粮食及其制品-->小麦粉,益海嘉里（北京）粮油食品工业有限公司,北安润泰商业有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,原味家用粉（小麦粉）,粮食及其制品-->小麦粉,黑龙江北大荒丰远制粉有限公司,北安润泰商业有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,原味小麦粉,粮食及其制品-->小麦粉,滨州泰裕麦业有限公司,北安润泰商业有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,特精高筋小麦粉,粮食及其制品-->小麦粉,五得利集团东明面粉有限公司,鹤岗市金广商贸有限公司振兴店,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,香满园美味富强小麦粉,粮食及其制品-->小麦粉,益海嘉里（北京）粮油食品,鹤岗市金广商贸有限公司振兴店,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,奇麦特雪花粉（小麦粉）,粮食及其制品-->小麦粉,新疆奇台八一面粉有限责任公司,新疆奇台八一面粉有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,奇台县新世纪有限责任公司,奇台县新世纪有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新疆天山面粉（集团）有限责任公司,新疆天山面粉（集团）奇台有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,奇台县新世纪有限责任公司,奇台县新世纪有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新疆天山面粉（集团）有限责任公司,新疆天山面粉（集团）奇台有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新疆塔城裕民县新裕面粉厂,裕民县新裕面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新源县新康粮油加工厂,新源县新康粮油加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,昭苏县振宏面粉厂,昭苏县振宏面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,特克斯县诚信面粉厂,特克斯县诚信面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,昭苏县振宏面粉厂,昭苏县振宏面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,昭苏富康粮油加工厂,昭苏县富康粮油加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,特克斯县诚信面粉厂,特克斯诚信面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,昭苏富康粮油加工厂,昭苏县富康粮油加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新源县新康粮油加工厂,新源县新康粮油加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新源县则克台康利面粉加工厂,新源县则克台康利面粉加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,伊犁双武面粉有限公司,伊犁双武面粉有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,霍城县阳光面粉厂,霍城县阳光面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,奇麦特麦芯粉（小麦粉）,粮食及其制品-->小麦粉,新疆奇台八一面粉有限责任公司,新疆奇台八一面粉有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,伊犁双武面粉有限公司,伊犁双武面粉有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,河套牌雪花粉(小麦粉）,粮食及其制品-->小麦粉,内蒙古恒丰食品工业（集团）股份有限公司,黑龙江永辉超市有限公司大庆万达广场店,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,良霸特制一等小麦粉,粮食及其制品-->小麦粉,新疆阿克苏新鑫面粉有限责任公司,阿克苏新鑫面粉有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,全福系列拉条子小麦粉,粮食及其制品-->小麦粉,阿克苏市全福面粉厂,阿克苏市全福面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,飞达小麦粉,粮食及其制品-->小麦粉,阿克苏市飞达面粉厂,阿克苏市飞达面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,全福小麦粉,粮食及其制品-->小麦粉,阿克苏市全福面粉厂,阿克苏市全福面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,麦合穆德小麦粉,粮食及其制品-->小麦粉,阿克苏市麦合穆德面粉厂,阿克苏市麦合穆德面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,康宏系列通用小麦粉,粮食及其制品-->小麦粉,库尔勒康宏面粉厂,库尔勒康宏面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,梨花特制一等小麦粉,粮食及其制品-->小麦粉,库尔勒孔雀河国家粮食储备有限公司,库尔勒孔雀河国家粮食储备有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,库克来木小麦粉,粮食及其制品-->小麦粉,轮台县库克来木面粉厂,轮台县库克来木面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,蓝天通用小麦粉,粮食及其制品-->小麦粉,焉耆县蓝天面粉厂,焉耆县蓝天面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,华丰通用系列小麦粉,粮食及其制品-->小麦粉,焉耆县华丰面粉厂,焉耆县华丰面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,明有小麦粉,粮食及其制品-->小麦粉,焉耆县十号渠面粉厂,焉耆县十号渠面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新疆天佳粮油有限责任公司,新疆天佳粮油有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,哈密市回城乡绿雪面粉加工厂,哈密市回城乡绿雪面粉加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,哈密市回城乡绿雪面粉加工厂,哈密市回城乡绿雪面粉加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,哈密市陶家宫乡八户面粉厂,哈密市陶家宫八户面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,科克提坎小麦粉,粮食及其制品-->小麦粉,库车县比西巴格乡科克提坎买买提·司马义面粉厂,库车县比西巴格乡科克提坎买买提·司马义面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,奇台县新世纪有限责任公司,阜康市宜佳超市,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,阜康市瑞河粮油工贸有限责任公司,阜康市宜佳超市,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新疆天佳粮油有限责任公司,新疆天佳粮油有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,霍城县阳光面粉厂,霍城县阳光面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,额敏县上户乡五丰粮油加工厂,额敏县东阳商贸有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市小营盘镇博福粮油加工厂,博乐市博福福面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市小营盘镇博福粮油加工厂,博乐市博福福面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市富顺康粮油有限责任公司,博乐市富顺康粮油有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市利丰粮油商贸有限责任公司,博乐市利丰粮油商贸有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市利丰粮油商贸有限责任公司,博乐市利丰粮油商贸有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市富顺康粮油有限责任公司,博乐市富顺康粮油有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市精洁面粉厂,博乐市精洁面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉（馕粉）,粮食及其制品-->小麦粉,温宿县白云面业有限责任公司,温宿县白云面业有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,华星系列通用小麦粉,粮食及其制品-->小麦粉,阿克苏华星面粉有限公司,阿克苏世纪太百购物有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,额敏县上户乡五丰粮油加工厂,额敏县东阳商贸有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市精洁面粉厂,博乐市精洁面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,托峰雪小麦粉（军供）,粮食及其制品-->小麦粉,阿克苏金粮面粉有限公司,阿克苏金粮面粉有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,华康特制一等小麦粉,粮食及其制品-->小麦粉,阿克苏地区华康面粉有限公司,阿克苏地区华康面粉有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,托里县达康粮油工贸有限公司,托里县好运达商店,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,霍城县欣隆制粉有限责任公司,霍城县欣隆制粉有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,霍城县欣隆制粉有限责任公司,霍城县欣隆制粉有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,哈密市二堡镇长兴面粉加工厂,哈密市二堡镇长兴旺面粉加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,哈密市二堡镇长兴面粉加工厂,哈密市二堡镇长兴旺面粉加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,哈密市陶家宫乡八户面粉厂,哈密市陶家宫八户面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,吉木乃县吉星制粉有限责任公司,吉木乃县吉星制粉有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,吉木乃县冰山制粉有限责任公司,吉木乃县冰山制粉有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,哈巴河县旭日粮油商贸有限责任公司,哈巴河县旭日粮油商贸有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,呼图壁县北疆粮油工贸有限责任公司,呼图壁县北疆粮油工贸有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,吉域牌小麦粉,粮食及其制品-->小麦粉,吉木乃县吉星制粉有限责任公司,阿勒泰市好宜家超市有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,有机小麦粉,粮食及其制品-->小麦粉,新疆阿勒泰地区吉木乃县冰山制粉有限责任公司,吉木乃县冰山制粉有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,哈巴河县旭日粮油商贸有限责任公司,哈巴河县旭日粮油商贸有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,高筋小麦粉,粮食及其制品-->小麦粉,吉木乃县光明面粉厂,吉木乃县光明面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,吉木乃县光明面粉厂,吉木乃县光明面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,呼图壁县北疆粮油工贸有限责任公司,呼图壁县北疆粮油工贸有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,纯小麦粉,粮食及其制品-->小麦粉,疏勒县牙甫泉镇努尔阿亚特面粉厂,疏勒县牙甫泉镇努尔阿亚特面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,疏附县吐鲁帕尔面粉厂,疏勒县吐鲁帕尔面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市飞达粮油有限责任公司新博面粉厂,博乐市飞达粮油食品有限责任公司新博面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,博乐市飞达粮油有限责任公司新博面粉厂,博乐市飞达粮油食品有限责任公司新博面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,裕民县新峰粮油加工厂,裕民县新地乡新峰粮油加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新疆塔城裕民县新裕面粉厂,裕民县新裕面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,裕民县新峰粮油加工厂,裕民县新地乡新峰粮油加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,特制二等粉（小麦粉）,粮食及其制品-->小麦粉,额敏县西盛面粉厂,额敏县西盛面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,特制一等粉（小麦粉）,粮食及其制品-->小麦粉,额敏县西盛面粉厂,额敏县西盛面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉（拉条粉）,粮食及其制品-->小麦粉,温宿县白云面业有限责任公司,温宿县白云面业有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,通用小麦粉,粮食及其制品-->小麦粉,西安市斗门面粉厂,西安市斗门面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,西安代代福食品有限公司,西安代代福食品有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,高筋小麦粉,粮食及其制品-->小麦粉,宝鸡毅武面粉有限公司,宝鸡毅武面粉有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,西安兄弟粮业有限公司,西安兄弟粮业有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,精制特一粉（小麦粉）,粮食及其制品-->小麦粉,平凉市长丰面业有限责任公司,红寺堡区正兴粮油商行,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,塞北雪高筋小麦粉,粮食及其制品-->小麦粉,宁夏塞北雪面粉有限公司,银川新华百货连锁超市有限公司大武口华欣店（分公司）,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,高筋小麦粉,粮食及其制品-->小麦粉,宁夏鑫正源面业有限公司,宁夏鑫正源面业有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,特制一等小麦粉,粮食及其制品-->小麦粉,宁夏塞北雪面粉有限公司,平罗县城全美佳综合超市,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,嘉禾雪家庭粉（小麦粉）,粮食及其制品-->小麦粉,吴忠市嘉禾粮油食品有限公司,吴忠市嘉禾粮油食品有限公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,天山小麦粉,粮食及其制品-->小麦粉,库尔勒孔雀河国家粮油储备有限公司,新疆阿拉尔塔河粮油购销中心,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新疆仓麦园有限责任公司,新疆渝都商贸有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新疆八一面粉有限责任公司,新市区科学一街好兴福鑫商店,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,新疆新世纪面粉有限公司,乌鲁木齐市新市区民心源商店,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,乌鲁木齐市米东区金源面粉加工厂,乌鲁木齐市米东区金源面粉加工厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,阜康市瑞河粮油工贸有限责任公司,阜康市瑞河粮油工贸有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,阿勒泰地区粮食购销有限公司北屯面粉厂,北屯市好利安商贸有限责任公司,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,和田市幸运面粉厂,和田市幸运面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,和田市玉龙喀什镇迪亚乃提面粉厂,和田市玉龙喀什迪亚乃提面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,和田市骆驼面粉厂,和田市骆驼面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
小麦粉,小麦粉,粮食及其制品-->小麦粉,和田县巴格其镇克孜力阿里马面粉厂,和田县巴格其镇克孜力阿里马面粉厂,2015-02-16,,,,,,,合格,原国家食药总局,2015-02-16,
